k_att,k_def,home_adv_log,brier
0.02,0.02,0.05,0.6002206752428082
0.04,0.02,0.05,0.6012566649354467
0.02,0.04,0.05,0.6014471481842247
0.02,0.02,0.1,0.6023523837843201
0.04,0.04,0.05,0.6030678889398937
0.04,0.02,0.1,0.6033077486651591
0.02,0.04,0.1,0.6034025706783755
0.02,0.06,0.05,0.603538832204612
0.06,0.02,0.05,0.6037375653714192
0.04,0.04,0.1,0.6049368064518869
0.04,0.06,0.05,0.6053288563232248
0.02,0.06,0.1,0.6054027550247489
0.02,0.02,0.15,0.6055189060424468
0.06,0.02,0.1,0.6057216539565367
0.06,0.04,0.05,0.6059752507683588
0.02,0.08,0.05,0.6062840618486498
0.04,0.02,0.15,0.6063647971476231
0.02,0.04,0.15,0.6063756399181129
0.08,0.02,0.05,0.606875024493633
0.04,0.06,0.1,0.6070957696270889
0.06,0.04,0.1,0.6077761130125193
0.04,0.04,0.15,0.6077979273932027
0.02,0.08,0.1,0.6080782420576574
0.04,0.08,0.05,0.608093815428689
0.02,0.06,0.15,0.6082853240128309
0.06,0.06,0.05,0.6084664783663041
0.06,0.02,0.15,0.6087021326214135
0.08,0.02,0.1,0.6087867372061664
0.08,0.04,0.05,0.609428696916714
0.02,0.1,0.05,0.609574637641128
0.02,0.02,0.2,0.609683607145293
0.04,0.08,0.1,0.6097844104630505
0.04,0.06,0.15,0.6098569744714467
0.06,0.06,0.1,0.6101555043439238
0.02,0.04,0.2,0.6103266797106616
0.04,0.02,0.2,0.6103877163413379
0.1,0.02,0.05,0.6104341040278832
0.06,0.04,0.15,0.6105604015507332
0.02,0.08,0.15,0.6108964783421073
0.08,0.04,0.1,0.611155631374385
0.02,0.1,0.1,0.611304368403183
0.06,0.08,0.05,0.611349785438026
0.04,0.1,0.05,0.6113596462304067
0.04,0.04,0.2,0.6116102112957835
0.08,0.02,0.15,0.6116933582810462
0.02,0.06,0.2,0.6121440663956098
0.08,0.06,0.05,0.6121453307746169
0.1,0.02,0.1,0.6122696454650725
0.04,0.08,0.15,0.6124753524326597
0.06,0.02,0.2,0.6126360385280373
0.06,0.06,0.15,0.6128296809133388
0.06,0.08,0.1,0.612953592453209
0.04,0.1,0.1,0.6129819698732802
0.1,0.04,0.05,0.6132287335956176
0.02,0.12,0.05,0.6132975509613517
0.04,0.06,0.2,0.6135696166266285
0.08,0.06,0.1,0.6137514864879825
0.08,0.04,0.15,0.6138647272775721
0.02,0.1,0.15,0.6140646835406187
0.06,0.04,0.2,0.614285130236474
0.12,0.02,0.05,0.6142994002148269
0.06,0.1,0.05,0.6146796367028982
0.02,0.08,0.2,0.6146936720840376
0.1,0.04,0.1,0.614877635051159
0.02,0.12,0.1,0.61496243081992
0.04,0.12,0.05,0.6150654484462029
0.1,0.02,0.15,0.6151028955364409
0.08,0.08,0.05,0.6151770814799038
0.06,0.08,0.15,0.6155481780793762
0.08,0.02,0.2,0.6155494238246068
0.04,0.1,0.15,0.6156118383734079
0.12,0.02,0.1,0.6160578026470606
0.04,0.08,0.2,0.61612169785659
0.1,0.06,0.05,0.616157841581643
0.06,0.1,0.1,0.6162092947624134
0.08,0.06,0.15,0.6163409397303192
0.06,0.06,0.2,0.6164448290515206
0.04,0.12,0.1,0.6166198883055565
0.08,0.08,0.1,0.6166892350209053
0.12,0.04,0.05,0.6172857263007513
0.08,0.04,0.2,0.6175109750803455
0.1,0.04,0.15,0.6175115202495494
0.02,0.12,0.15,0.617664691228817
0.1,0.06,0.1,0.6176787957530229
0.02,0.1,0.2,0.6178079883191632
0.06,0.12,0.05,0.6184307269567118
0.08,0.1,0.05,0.6186105517788109
0.06,0.1,0.15,0.6187367293156112
0.12,0.02,0.15,0.6188192169318409
0.12,0.04,0.1,0.618855818185055
0.1,0.02,0.2,0.6188859951761772
0.06,0.08,0.2,0.619087712366148
0.04,0.12,0.15,0.6191895381955957
0.08,0.08,0.15,0.6191897669129888
0.04,0.1,0.2,0.6192021299493746
0.1,0.08,0.05,0.6193526728052984
0.08,0.06,0.2,0.6198678943063407
0.06,0.12,0.1,0.6198894344353847
0.08,0.1,0.1,0.6200427132321535
0.1,0.06,0.15,0.6201852172166125
0.12,0.06,0.05,0.6204175900317435
0.1,0.08,0.1,0.6207727144203334
0.1,0.04,0.2,0.6210832277976928
0.02,0.12,0.2,0.621354337810588
0.12,0.04,0.15,0.6214161520901808
0.12,0.06,0.1,0.6218542886852427
0.06,0.1,0.2,0.622214228412236
0.06,0.12,0.15,0.6223537513931315
0.08,0.12,0.05,0.6224424334312586
0.08,0.1,0.15,0.6224699778915734
0.12,0.02,0.2,0.6225333635944802
0.08,0.08,0.2,0.6226315497260827
0.04,0.12,0.2,0.6227250844543109
0.1,0.1,0.05,0.6229162621377146
0.1,0.08,0.15,0.6231828002697587
0.1,0.06,0.2,0.6236294103787212
0.12,0.08,0.05,0.6237862717567987
0.08,0.12,0.1,0.6238012548159547
0.1,0.1,0.1,0.6242521231639767
0.12,0.06,0.15,0.6242811210349605
0.12,0.04,0.2,0.6249172322901064
0.12,0.08,0.1,0.6251170443575829
0.06,0.12,0.2,0.625773956404388
0.08,0.1,0.2,0.6258435482581131
0.08,0.12,0.15,0.6261631503894936
0.1,0.08,0.2,0.6265341066931311
0.1,0.1,0.15,0.626584640918194
0.1,0.12,0.05,0.6268586335820541
0.12,0.08,0.15,0.6274422385301144
0.12,0.1,0.05,0.6275013493547866
0.12,0.06,0.2,0.6276481930768767
0.1,0.12,0.1,0.6281202514748113
0.12,0.1,0.1,0.6287453948639807
0.08,0.12,0.2,0.6294774158195098
0.1,0.1,0.2,0.6298634350727319
0.1,0.12,0.15,0.6303868889082759
0.12,0.08,0.2,0.6307109405899957
0.12,0.1,0.15,0.6309907485818435
0.12,0.12,0.05,0.6315812603902768
0.12,0.12,0.1,0.6327514269533523
0.1,0.12,0.2,0.6336062736606874
0.12,0.1,0.2,0.6341849706569984
0.12,0.12,0.15,0.634932145839474
0.12,0.12,0.2,0.6380690275158528
